Season,Team,League,Games,Championship_Season,Stat,Value,Stat_Type
2009,SFN,NL,7,False,Hits,2.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Hits,124.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Hits,46.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Hits,178.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Hits,153.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Hits,170.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Hits,177.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Hits,155.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Hits,158.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Hits,113.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Hits,104.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Hits,120.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Home_Runs,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Home_Runs,18.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Home_Runs,4.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Home_Runs,24.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Home_Runs,15.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Home_Runs,22.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Home_Runs,19.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Home_Runs,14.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Home_Runs,12.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Home_Runs,5.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Home_Runs,7.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Home_Runs,18.0,Regular Season Counting Stat
2009,SFN,NL,7,False,RBIs,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,RBIs,67.0,Regular Season Counting Stat
2011,SFN,NL,45,False,RBIs,21.0,Regular Season Counting Stat
2012,SFN,NL,148,True,RBIs,103.0,Regular Season Counting Stat
2013,SFN,NL,148,False,RBIs,72.0,Regular Season Counting Stat
2014,SFN,NL,147,True,RBIs,89.0,Regular Season Counting Stat
2015,SFN,NL,150,False,RBIs,95.0,Regular Season Counting Stat
2016,SFN,NL,146,False,RBIs,80.0,Regular Season Counting Stat
2017,SFN,NL,140,False,RBIs,67.0,Regular Season Counting Stat
2018,SFN,NL,105,False,RBIs,41.0,Regular Season Counting Stat
2019,SFN,NL,114,False,RBIs,38.0,Regular Season Counting Stat
2021,SFN,NL,113,False,RBIs,56.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Runs,1.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Runs,58.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Runs,17.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Runs,78.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Runs,61.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Runs,72.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Runs,74.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Runs,82.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Runs,62.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Runs,47.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Runs,43.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Runs,68.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Doubles,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Doubles,23.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Doubles,5.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Doubles,39.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Doubles,34.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Doubles,28.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Doubles,28.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Doubles,33.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Doubles,34.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Doubles,22.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Doubles,24.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Doubles,23.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Triples,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Triples,2.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Triples,0.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Triples,1.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Triples,1.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Triples,2.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Triples,0.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Triples,2.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Triples,0.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Triples,1.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Triples,0.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Triples,0.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Walks,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Walks,30.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Walks,18.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Walks,69.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Walks,60.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Walks,47.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Walks,56.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Walks,64.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Walks,61.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Walks,45.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Walks,34.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Walks,56.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Strikeouts,4.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Strikeouts,55.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Strikeouts,30.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Strikeouts,96.0,Regular Season Counting Stat
