Season,Team,League,Games,Stat,Value,Stat_Type
2009,SFN,NL,7,Hits,2.0,Counting Stat
2010,SFN,NL,108,Hits,124.0,Counting Stat
2011,SFN,NL,45,Hits,46.0,Counting Stat
2012,SFN,NL,148,Hits,178.0,Counting Stat
2013,SFN,NL,148,Hits,153.0,Counting Stat
2014,SFN,NL,147,Hits,170.0,Counting Stat
2015,SFN,NL,150,Hits,177.0,Counting Stat
2016,SFN,NL,146,Hits,155.0,Counting Stat
2017,SFN,NL,140,Hits,158.0,Counting Stat
2018,SFN,NL,105,Hits,113.0,Counting Stat
2019,SFN,NL,114,Hits,104.0,Counting Stat
2021,SFN,NL,113,Hits,120.0,Counting Stat
2009,SFN,NL,7,Home_Runs,0.0,Counting Stat
2010,SFN,NL,108,Home_Runs,18.0,Counting Stat
2011,SFN,NL,45,Home_Runs,4.0,Counting Stat
2012,SFN,NL,148,Home_Runs,24.0,Counting Stat
2013,SFN,NL,148,Home_Runs,15.0,Counting Stat
2014,SFN,NL,147,Home_Runs,22.0,Counting Stat
2015,SFN,NL,150,Home_Runs,19.0,Counting Stat
2016,SFN,NL,146,Home_Runs,14.0,Counting Stat
2017,SFN,NL,140,Home_Runs,12.0,Counting Stat
2018,SFN,NL,105,Home_Runs,5.0,Counting Stat
2019,SFN,NL,114,Home_Runs,7.0,Counting Stat
2021,SFN,NL,113,Home_Runs,18.0,Counting Stat
2009,SFN,NL,7,RBIs,0.0,Counting Stat
2010,SFN,NL,108,RBIs,67.0,Counting Stat
2011,SFN,NL,45,RBIs,21.0,Counting Stat
2012,SFN,NL,148,RBIs,103.0,Counting Stat
2013,SFN,NL,148,RBIs,72.0,Counting Stat
2014,SFN,NL,147,RBIs,89.0,Counting Stat
2015,SFN,NL,150,RBIs,95.0,Counting Stat
2016,SFN,NL,146,RBIs,80.0,Counting Stat
2017,SFN,NL,140,RBIs,67.0,Counting Stat
2018,SFN,NL,105,RBIs,41.0,Counting Stat
2019,SFN,NL,114,RBIs,38.0,Counting Stat
2021,SFN,NL,113,RBIs,56.0,Counting Stat
2009,SFN,NL,7,Runs,1.0,Counting Stat
2010,SFN,NL,108,Runs,58.0,Counting Stat
2011,SFN,NL,45,Runs,17.0,Counting Stat
2012,SFN,NL,148,Runs,78.0,Counting Stat
2013,SFN,NL,148,Runs,61.0,Counting Stat
2014,SFN,NL,147,Runs,72.0,Counting Stat
2015,SFN,NL,150,Runs,74.0,Counting Stat
2016,SFN,NL,146,Runs,82.0,Counting Stat
2017,SFN,NL,140,Runs,62.0,Counting Stat
2018,SFN,NL,105,Runs,47.0,Counting Stat
2019,SFN,NL,114,Runs,43.0,Counting Stat
2021,SFN,NL,113,Runs,68.0,Counting Stat
2009,SFN,NL,7,Doubles,0.0,Counting Stat
2010,SFN,NL,108,Doubles,23.0,Counting Stat
2011,SFN,NL,45,Doubles,5.0,Counting Stat
2012,SFN,NL,148,Doubles,39.0,Counting Stat
2013,SFN,NL,148,Doubles,34.0,Counting Stat
2014,SFN,NL,147,Doubles,28.0,Counting Stat
2015,SFN,NL,150,Doubles,28.0,Counting Stat
2016,SFN,NL,146,Doubles,33.0,Counting Stat
2017,SFN,NL,140,Doubles,34.0,Counting Stat
2018,SFN,NL,105,Doubles,22.0,Counting Stat
2019,SFN,NL,114,Doubles,24.0,Counting Stat
2021,SFN,NL,113,Doubles,23.0,Counting Stat
2009,SFN,NL,7,Triples,0.0,Counting Stat
2010,SFN,NL,108,Triples,2.0,Counting Stat
2011,SFN,NL,45,Triples,0.0,Counting Stat
2012,SFN,NL,148,Triples,1.0,Counting Stat
2013,SFN,NL,148,Triples,1.0,Counting Stat
2014,SFN,NL,147,Triples,2.0,Counting Stat
2015,SFN,NL,150,Triples,0.0,Counting Stat
2016,SFN,NL,146,Triples,2.0,Counting Stat
2017,SFN,NL,140,Triples,0.0,Counting Stat
2018,SFN,NL,105,Triples,1.0,Counting Stat
2019,SFN,NL,114,Triples,0.0,Counting Stat
2021,SFN,NL,113,Triples,0.0,Counting Stat
2009,SFN,NL,7,Walks,0.0,Counting Stat
2010,SFN,NL,108,Walks,30.0,Counting Stat
2011,SFN,NL,45,Walks,18.0,Counting Stat
2012,SFN,NL,148,Walks,69.0,Counting Stat
2013,SFN,NL,148,Walks,60.0,Counting Stat
2014,SFN,NL,147,Walks,47.0,Counting Stat
2015,SFN,NL,150,Walks,56.0,Counting Stat
2016,SFN,NL,146,Walks,64.0,Counting Stat
2017,SFN,NL,140,Walks,61.0,Counting Stat
2018,SFN,NL,105,Walks,45.0,Counting Stat
2019,SFN,NL,114,Walks,34.0,Counting Stat
2021,SFN,NL,113,Walks,56.0,Counting Stat
2009,SFN,NL,7,Strikeouts,4.0,Counting Stat
2010,SFN,NL,108,Strikeouts,55.0,Counting Stat
2011,SFN,NL,45,Strikeouts,30.0,Counting Stat
2012,SFN,NL,148,Strikeouts,96.0,Counting Stat
2013,SFN,NL,148,Strikeouts,70.0,Counting Stat
2014,SFN,NL,147,Strikeouts,69.0,Counting Stat
2015,SFN,NL,150,Strikeouts,52.0,Counting Stat
